FileName, KnownNumberArrangement, SecondsElapsed, NumberCount\n
../data-set/30000-numbers-17-ordered-ascending.txt, ascending, 0m0.009s, 30000
../data-set/30000-numbers-17-ordered-descending.txt, descending, 0m0.005s, 30000
../data-set/30000-numbers-17-unordered.txt, unordered, 0m0.006s, 30000
../data-set/30000-numbers-18-ordered-ascending.txt, ascending, 0m0.007s, 30000
../data-set/30000-numbers-18-ordered-descending.txt, descending, 0m0.007s, 30000
../data-set/30000-numbers-18-unordered.txt, unordered, 0m0.004s, 30000
../data-set/30000-numbers-19-ordered-ascending.txt, ascending, 0m0.008s, 30000
../data-set/30000-numbers-19-ordered-descending.txt, descending, 0m0.009s, 30000
../data-set/30000-numbers-19-unordered.txt, unordered, 0m0.007s, 30000
../data-set/30000-numbers-2-ordered-ascending.txt, ascending, 0m0.010s, 30000
../data-set/30000-numbers-2-ordered-descending.txt, descending, 0m0.005s, 30000
../data-set/30000-numbers-2-unordered.txt, unordered, 0m0.006s, 30000
../data-set/30000-numbers-20-ordered-ascending.txt, ascending, 0m0.005s, 30000
../data-set/30000-numbers-20-ordered-descending.txt, descending, 0m0.005s, 30000
../data-set/30000-numbers-20-unordered.txt, unordered, 0m0.008s, 30000
../data-set/30000-numbers-21-ordered-ascending.txt, ascending, 0m0.011s, 30000
../data-set/30000-numbers-21-ordered-descending.txt, descending, 0m0.006s, 30000
../data-set/30000-numbers-21-unordered.txt, unordered, 0m0.007s, 30000
../data-set/30000-numbers-22-ordered-ascending.txt, ascending, 0m0.006s, 30000
../data-set/30000-numbers-22-ordered-descending.txt, descending, 0m0.005s, 30000
../data-set/30000-numbers-22-unordered.txt, unordered, 0m0.008s, 30000
../data-set/30000-numbers-23-ordered-ascending.txt, ascending, 0m0.006s, 30000
../data-set/30000-numbers-23-ordered-descending.txt, descending, 0m0.005s, 30000
../data-set/30000-numbers-23-unordered.txt, unordered, 0m0.010s, 30000
../data-set/30000-numbers-24-ordered-ascending.txt, ascending, 0m0.008s, 30000
../data-set/30000-numbers-24-ordered-descending.txt, descending, 0m0.010s, 30000
../data-set/30000-numbers-24-unordered.txt, unordered, 0m0.007s, 30000
../data-set/30000-numbers-25-ordered-ascending.txt, ascending, 0m0.011s, 30000
../data-set/30000-numbers-25-ordered-descending.txt, descending, 0m0.007s, 30000
../data-set/30000-numbers-25-unordered.txt, unordered, 0m0.005s, 30000
../data-set/30000-numbers-26-ordered-ascending.txt, ascending, 0m0.008s, 30000
../data-set/30000-numbers-26-ordered-descending.txt, descending, 0m0.006s, 30000
../data-set/30000-numbers-26-unordered.txt, unordered, 0m0.005s, 30000
../data-set/30000-numbers-27-ordered-ascending.txt, ascending, 0m0.009s, 30000
../data-set/30000-numbers-27-ordered-descending.txt, descending, 0m0.006s, 30000
../data-set/30000-numbers-27-unordered.txt, unordered, 0m0.008s, 30000
../data-set/30000-numbers-28-ordered-ascending.txt, ascending, 0m0.012s, 30000
../data-set/30000-numbers-28-ordered-descending.txt, descending, 0m0.015s, 30000
../data-set/30000-numbers-28-unordered.txt, unordered, 0m0.011s, 30000
../data-set/30000-numbers-29-ordered-ascending.txt, ascending, 0m0.015s, 30000
../data-set/30000-numbers-29-ordered-descending.txt, descending, 0m0.010s, 30000
../data-set/30000-numbers-29-unordered.txt, unordered, 0m0.012s, 30000
../data-set/30000-numbers-3-ordered-ascending.txt, ascending, 0m0.010s, 30000
../data-set/30000-numbers-3-ordered-descending.txt, descending, 0m0.009s, 30000
../data-set/30000-numbers-3-unordered.txt, unordered, 0m0.017s, 30000
../data-set/30000-numbers-4-ordered-ascending.txt, ascending, 0m0.010s, 30000
../data-set/30000-numbers-4-ordered-descending.txt, descending, 0m0.016s, 30000
../data-set/30000-numbers-4-unordered.txt, unordered, 0m0.017s, 30000
../data-set/30000-numbers-5-ordered-ascending.txt, ascending, 0m0.014s, 30000
../data-set/30000-numbers-5-ordered-descending.txt, descending, 0m0.008s, 30000
../data-set/30000-numbers-5-unordered.txt, unordered, 0m0.018s, 30000
../data-set/30000-numbers-6-ordered-ascending.txt, ascending, 0m0.014s, 30000
../data-set/30000-numbers-6-ordered-descending.txt, descending, 0m0.015s, 30000
../data-set/30000-numbers-6-unordered.txt, unordered, 0m0.012s, 30000
../data-set/30000-numbers-7-ordered-ascending.txt, ascending, 0m0.014s, 30000
../data-set/30000-numbers-7-ordered-descending.txt, descending, 0m0.010s, 30000
../data-set/30000-numbers-7-unordered.txt, unordered, 0m0.009s, 30000
../data-set/30000-numbers-8-ordered-ascending.txt, ascending, 0m0.017s, 30000
../data-set/30000-numbers-8-ordered-descending.txt, descending, 0m0.016s, 30000
../data-set/30000-numbers-8-unordered.txt, unordered, 0m0.014s, 30000
../data-set/30000-numbers-9-ordered-ascending.txt, ascending, 0m0.015s, 30000
../data-set/30000-numbers-9-ordered-descending.txt, descending, 0m0.013s, 30000
../data-set/30000-numbers-9-unordered.txt, unordered, 0m0.010s, 30000
../data-set/40000-numbers-0-ordered-ascending.txt, ascending, 0m0.006s, 40000
../data-set/40000-numbers-0-ordered-descending.txt, descending, 0m0.019s, 40000
../data-set/40000-numbers-0-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-1-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-1-ordered-descending.txt, descending, 0m0.012s, 40000
../data-set/40000-numbers-1-unordered.txt, unordered, 0m0.010s, 40000
../data-set/40000-numbers-10-ordered-ascending.txt, ascending, 0m0.011s, 40000
../data-set/40000-numbers-10-ordered-descending.txt, descending, 0m0.011s, 40000
../data-set/40000-numbers-10-unordered.txt, unordered, 0m0.011s, 40000
../data-set/40000-numbers-11-ordered-ascending.txt, ascending, 0m0.010s, 40000
../data-set/40000-numbers-11-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-11-unordered.txt, unordered, 0m0.011s, 40000
../data-set/40000-numbers-12-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-12-ordered-descending.txt, descending, 0m0.010s, 40000
../data-set/40000-numbers-12-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-13-ordered-ascending.txt, ascending, 0m0.007s, 40000
../data-set/40000-numbers-13-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-13-unordered.txt, unordered, 0m0.010s, 40000
../data-set/40000-numbers-14-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-14-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-14-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-15-ordered-ascending.txt, ascending, 0m0.010s, 40000
../data-set/40000-numbers-15-ordered-descending.txt, descending, 0m0.011s, 40000
../data-set/40000-numbers-15-unordered.txt, unordered, 0m0.006s, 40000
../data-set/40000-numbers-16-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-16-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-16-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-17-ordered-ascending.txt, ascending, 0m0.006s, 40000
../data-set/40000-numbers-17-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-17-unordered.txt, unordered, 0m0.012s, 40000
../data-set/40000-numbers-18-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-18-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-18-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-19-ordered-ascending.txt, ascending, 0m0.009s, 40000
../data-set/40000-numbers-19-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-19-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-2-ordered-ascending.txt, ascending, 0m0.005s, 40000
../data-set/40000-numbers-2-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-2-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-20-ordered-ascending.txt, ascending, 0m0.005s, 40000
../data-set/40000-numbers-20-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-20-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-21-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-21-ordered-descending.txt, descending, 0m0.008s, 40000
../data-set/40000-numbers-21-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-22-ordered-ascending.txt, ascending, 0m0.010s, 40000
../data-set/40000-numbers-22-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-22-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-23-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-23-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-23-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-24-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-24-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-24-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-25-ordered-ascending.txt, ascending, 0m0.006s, 40000
../data-set/40000-numbers-25-ordered-descending.txt, descending, 0m0.010s, 40000
../data-set/40000-numbers-25-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-26-ordered-ascending.txt, ascending, 0m0.010s, 40000
../data-set/40000-numbers-26-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-26-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-27-ordered-ascending.txt, ascending, 0m0.007s, 40000
../data-set/40000-numbers-27-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-27-unordered.txt, unordered, 0m0.005s, 40000
../data-set/40000-numbers-28-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-28-ordered-descending.txt, descending, 0m0.009s, 40000
../data-set/40000-numbers-28-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-29-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-29-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-29-unordered.txt, unordered, 0m0.009s, 40000
../data-set/40000-numbers-3-ordered-ascending.txt, ascending, 0m0.007s, 40000
../data-set/40000-numbers-3-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-3-unordered.txt, unordered, 0m0.006s, 40000
../data-set/40000-numbers-4-ordered-ascending.txt, ascending, 0m0.005s, 40000
../data-set/40000-numbers-4-ordered-descending.txt, descending, 0m0.008s, 40000
../data-set/40000-numbers-4-unordered.txt, unordered, 0m0.005s, 40000
../data-set/40000-numbers-5-ordered-ascending.txt, ascending, 0m0.007s, 40000
../data-set/40000-numbers-5-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-5-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-6-ordered-ascending.txt, ascending, 0m0.009s, 40000
../data-set/40000-numbers-6-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-6-unordered.txt, unordered, 0m0.007s, 40000
../data-set/40000-numbers-7-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-7-ordered-descending.txt, descending, 0m0.008s, 40000
../data-set/40000-numbers-7-unordered.txt, unordered, 0m0.008s, 40000
../data-set/40000-numbers-8-ordered-ascending.txt, ascending, 0m0.006s, 40000
../data-set/40000-numbers-8-ordered-descending.txt, descending, 0m0.006s, 40000
../data-set/40000-numbers-8-unordered.txt, unordered, 0m0.006s, 40000
../data-set/40000-numbers-9-ordered-ascending.txt, ascending, 0m0.008s, 40000
../data-set/40000-numbers-9-ordered-descending.txt, descending, 0m0.007s, 40000
../data-set/40000-numbers-9-unordered.txt, unordered, 0m0.005s, 40000
../data-set/50000-numbers-0-ordered-ascending.txt, ascending, 0m0.009s, 50000
../data-set/50000-numbers-0-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-0-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-1-ordered-ascending.txt, ascending, 0m0.006s, 50000
../data-set/50000-numbers-1-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-1-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-10-ordered-ascending.txt, ascending, 0m0.008s, 50000
../data-set/50000-numbers-10-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-10-unordered.txt, unordered, 0m0.005s, 50000
../data-set/50000-numbers-11-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-11-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-11-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-12-ordered-ascending.txt, ascending, 0m0.009s, 50000
../data-set/50000-numbers-12-ordered-descending.txt, descending, 0m0.008s, 50000
../data-set/50000-numbers-12-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-13-ordered-ascending.txt, ascending, 0m0.006s, 50000
../data-set/50000-numbers-13-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-13-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-14-ordered-ascending.txt, ascending, 0m0.010s, 50000
../data-set/50000-numbers-14-ordered-descending.txt, descending, 0m0.006s, 50000
../data-set/50000-numbers-14-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-15-ordered-ascending.txt, ascending, 0m0.008s, 50000
../data-set/50000-numbers-15-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-15-unordered.txt, unordered, 0m0.009s, 50000
../data-set/50000-numbers-16-ordered-ascending.txt, ascending, 0m0.009s, 50000
../data-set/50000-numbers-16-ordered-descending.txt, descending, 0m0.008s, 50000
../data-set/50000-numbers-16-unordered.txt, unordered, 0m0.009s, 50000
../data-set/50000-numbers-17-ordered-ascending.txt, ascending, 0m0.011s, 50000
../data-set/50000-numbers-17-ordered-descending.txt, descending, 0m0.009s, 50000
../data-set/50000-numbers-17-unordered.txt, unordered, 0m0.011s, 50000
../data-set/50000-numbers-18-ordered-ascending.txt, ascending, 0m0.011s, 50000
../data-set/50000-numbers-18-ordered-descending.txt, descending, 0m0.009s, 50000
../data-set/50000-numbers-18-unordered.txt, unordered, 0m0.009s, 50000
../data-set/50000-numbers-19-ordered-ascending.txt, ascending, 0m0.008s, 50000
../data-set/50000-numbers-19-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-19-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-2-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-2-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-2-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-20-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-20-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-20-unordered.txt, unordered, 0m0.007s, 50000
../data-set/50000-numbers-21-ordered-ascending.txt, ascending, 0m0.006s, 50000
../data-set/50000-numbers-21-ordered-descending.txt, descending, 0m0.006s, 50000
../data-set/50000-numbers-21-unordered.txt, unordered, 0m0.007s, 50000
../data-set/50000-numbers-22-ordered-ascending.txt, ascending, 0m0.004s, 50000
../data-set/50000-numbers-22-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-22-unordered.txt, unordered, 0m0.005s, 50000
../data-set/50000-numbers-23-ordered-ascending.txt, ascending, 0m0.008s, 50000
../data-set/50000-numbers-23-ordered-descending.txt, descending, 0m0.011s, 50000
../data-set/50000-numbers-23-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-24-ordered-ascending.txt, ascending, 0m0.006s, 50000
../data-set/50000-numbers-24-ordered-descending.txt, descending, 0m0.009s, 50000
../data-set/50000-numbers-24-unordered.txt, unordered, 0m0.005s, 50000
../data-set/50000-numbers-25-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-25-ordered-descending.txt, descending, 0m0.008s, 50000
../data-set/50000-numbers-25-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-26-ordered-ascending.txt, ascending, 0m0.005s, 50000
../data-set/50000-numbers-26-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-26-unordered.txt, unordered, 0m0.005s, 50000
../data-set/50000-numbers-27-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-27-ordered-descending.txt, descending, 0m0.007s, 50000
../data-set/50000-numbers-27-unordered.txt, unordered, 0m0.005s, 50000
../data-set/50000-numbers-28-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-28-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-28-unordered.txt, unordered, 0m0.007s, 50000
../data-set/50000-numbers-29-ordered-ascending.txt, ascending, 0m0.010s, 50000
../data-set/50000-numbers-29-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-29-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-3-ordered-ascending.txt, ascending, 0m0.007s, 50000
../data-set/50000-numbers-3-ordered-descending.txt, descending, 0m0.005s, 50000
../data-set/50000-numbers-3-unordered.txt, unordered, 0m0.006s, 50000
../data-set/50000-numbers-4-ordered-ascending.txt, ascending, 0m0.006s, 50000
../data-set/50000-numbers-4-ordered-descending.txt, descending, 0m0.006s, 50000
../data-set/50000-numbers-4-unordered.txt, unordered, 0m0.004s, 50000
../data-set/50000-numbers-5-ordered-ascending.txt, ascending, 0m0.010s, 50000
../data-set/50000-numbers-5-ordered-descending.txt, descending, 0m0.016s, 50000
../data-set/50000-numbers-5-unordered.txt, unordered, 0m0.015s, 50000
../data-set/50000-numbers-6-ordered-ascending.txt, ascending, 0m0.019s, 50000
../data-set/50000-numbers-6-ordered-descending.txt, descending, 0m0.014s, 50000
../data-set/50000-numbers-6-unordered.txt, unordered, 0m0.017s, 50000
../data-set/50000-numbers-7-ordered-ascending.txt, ascending, 0m0.015s, 50000
../data-set/50000-numbers-7-ordered-descending.txt, descending, 0m0.014s, 50000
../data-set/50000-numbers-7-unordered.txt, unordered, 0m0.007s, 50000
../data-set/50000-numbers-8-ordered-ascending.txt, ascending, 0m0.015s, 50000
../data-set/50000-numbers-8-ordered-descending.txt, descending, 0m0.012s, 50000
../data-set/50000-numbers-8-unordered.txt, unordered, 0m0.008s, 50000
../data-set/50000-numbers-9-ordered-ascending.txt, ascending, 0m0.008s, 50000
../data-set/50000-numbers-9-ordered-descending.txt, descending, 0m0.009s, 50000
../data-set/50000-numbers-9-unordered.txt, unordered, 0m0.018s, 50000
../data-set/60000-numbers-0-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-0-ordered-descending.txt, descending, 0m0.009s, 60000
../data-set/60000-numbers-0-unordered.txt, unordered, 0m0.010s, 60000
../data-set/60000-numbers-1-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-1-ordered-descending.txt, descending, 0m0.015s, 60000
../data-set/60000-numbers-1-unordered.txt, unordered, 0m0.008s, 60000
../data-set/60000-numbers-10-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-10-ordered-descending.txt, descending, 0m0.010s, 60000
../data-set/60000-numbers-10-unordered.txt, unordered, 0m0.006s, 60000
../data-set/60000-numbers-11-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-11-ordered-descending.txt, descending, 0m0.005s, 60000
../data-set/60000-numbers-11-unordered.txt, unordered, 0m0.009s, 60000
../data-set/60000-numbers-12-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-12-ordered-descending.txt, descending, 0m0.007s, 60000
../data-set/60000-numbers-12-unordered.txt, unordered, 0m0.005s, 60000
../data-set/60000-numbers-13-ordered-ascending.txt, ascending, 0m0.005s, 60000
../data-set/60000-numbers-13-ordered-descending.txt, descending, 0m0.008s, 60000
../data-set/60000-numbers-13-unordered.txt, unordered, 0m0.007s, 60000
../data-set/60000-numbers-14-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-14-ordered-descending.txt, descending, 0m0.007s, 60000
../data-set/60000-numbers-14-unordered.txt, unordered, 0m0.010s, 60000
../data-set/60000-numbers-15-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-15-ordered-descending.txt, descending, 0m0.009s, 60000
../data-set/60000-numbers-15-unordered.txt, unordered, 0m0.010s, 60000
../data-set/60000-numbers-16-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-16-ordered-descending.txt, descending, 0m0.009s, 60000
../data-set/60000-numbers-16-unordered.txt, unordered, 0m0.007s, 60000
../data-set/60000-numbers-17-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-17-ordered-descending.txt, descending, 0m0.014s, 60000
../data-set/60000-numbers-17-unordered.txt, unordered, 0m0.008s, 60000
../data-set/60000-numbers-18-ordered-ascending.txt, ascending, 0m0.006s, 60000
../data-set/60000-numbers-18-ordered-descending.txt, descending, 0m0.011s, 60000
../data-set/60000-numbers-18-unordered.txt, unordered, 0m0.006s, 60000
../data-set/60000-numbers-19-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-19-ordered-descending.txt, descending, 0m0.009s, 60000
../data-set/60000-numbers-19-unordered.txt, unordered, 0m0.007s, 60000
../data-set/60000-numbers-2-ordered-ascending.txt, ascending, 0m0.007s, 60000
../data-set/60000-numbers-2-ordered-descending.txt, descending, 0m0.011s, 60000
../data-set/60000-numbers-2-unordered.txt, unordered, 0m0.010s, 60000
../data-set/60000-numbers-20-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-20-ordered-descending.txt, descending, 0m0.010s, 60000
../data-set/60000-numbers-20-unordered.txt, unordered, 0m0.008s, 60000
../data-set/60000-numbers-21-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-21-ordered-descending.txt, descending, 0m0.014s, 60000
../data-set/60000-numbers-21-unordered.txt, unordered, 0m0.010s, 60000
../data-set/60000-numbers-22-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-22-ordered-descending.txt, descending, 0m0.008s, 60000
../data-set/60000-numbers-22-unordered.txt, unordered, 0m0.007s, 60000
../data-set/60000-numbers-23-ordered-ascending.txt, ascending, 0m0.009s, 60000
../data-set/60000-numbers-23-ordered-descending.txt, descending, 0m0.006s, 60000
../data-set/60000-numbers-23-unordered.txt, unordered, 0m0.008s, 60000
../data-set/60000-numbers-24-ordered-ascending.txt, ascending, 0m0.011s, 60000
../data-set/60000-numbers-24-ordered-descending.txt, descending, 0m0.005s, 60000
../data-set/60000-numbers-24-unordered.txt, unordered, 0m0.015s, 60000
../data-set/60000-numbers-25-ordered-ascending.txt, ascending, 0m0.008s, 60000
../data-set/60000-numbers-25-ordered-descending.txt, descending, 0m0.012s, 60000
../data-set/60000-numbers-25-unordered.txt, unordered, 0m0.008s, 60000
../data-set/60000-numbers-26-ordered-ascending.txt, ascending, 0m0.008s, 60000
